cell_line,model,rows_total,train_rows_before_augmentation,train_rows_after_augmentation,test_rows,input_features,r2_score,rmse,mae,pearson_rp,spearman_rs,train_time_sec,model_path_x,prediction_file,status,error,selected_model,model_path_y
786-0,CatBoost,2439,2195,4390,244,526,0.3418975987470231,30.885618162123706,24.368192978746684,0.5857911623913703,0.5878107056433249,5.408880233764648,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_786_0.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_786_0.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_786_0.pkl
A498,CatBoost,2441,2196,4392,245,526,0.4470889249707408,33.008112278016505,23.16105693636245,0.6736018571766189,0.6418284516727684,5.1621413230896,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_A498.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_A498.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_A498.pkl
A549/ATCC,LightGBM,2439,2195,4390,244,526,0.3956373160048839,29.37413351227959,21.84818570860333,0.6294803306748421,0.5845636764379171,2.669144630432129,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_A549_ATCC.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_A549_ATCC.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_A549_ATCC.pkl
ACHN,RandomForest,2434,2190,4380,244,526,0.3710663383168023,42.41652794390461,31.87221572989852,0.6230407795728357,0.5648796070592665,11.076157808303831,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_ACHN.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_ACHN.csv,success,,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_ACHN.pkl
BT-549,RandomForest,2431,2187,4374,244,526,0.3360380046480955,48.1215702980694,33.92594457455113,0.5854297024827859,0.5425939149451309,11.080331563949583,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_BT_549.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_BT_549.csv,success,,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_BT_549.pkl
CAKI-1,LightGBM,2436,2192,4384,244,526,0.3788728784987875,43.51260248475686,30.89680070917864,0.6226908938544526,0.597870918575682,2.7564680576324463,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_CAKI_1.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_CAKI_1.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_CAKI_1.pkl
CCRF-CEM,RandomForest,2399,2159,4318,240,526,0.3860135470850961,57.31939548409895,42.58284773809524,0.6272947375510243,0.5133320793767948,11.103960990905762,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_CCRF_CEM.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_CCRF_CEM.csv,success,,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_CCRF_CEM.pkl
COLO 205,CatBoost,2426,2183,4366,243,526,0.3418471588278574,47.04313505331539,35.993181072865355,0.588018710601986,0.5326709077243356,4.895819187164307,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_COLO_205.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_COLO_205.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_COLO_205.pkl
DU-145,XGBoost,2427,2184,4368,243,526,0.4343445729831743,44.37948171157006,27.54441234113748,0.662433266661801,0.6162303281920778,2.573967456817627,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_DU_145.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_DU_145.csv,success,,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_DU_145.pkl
EKVX,XGBoost,2439,2195,4390,244,526,0.5130317747452082,37.04319136612385,26.72403446304017,0.739068477690752,0.649059990292712,2.515708923339844,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_EKVX.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_EKVX.csv,success,,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_EKVX.pkl
HCC-2998,LightGBM,2350,2115,4230,235,526,0.5659615556639741,43.60039380492074,31.988763246380387,0.7536378838200976,0.663851307174516,3.0053486824035645,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_HCC_2998.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_HCC_2998.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_HCC_2998.pkl
HCT-116,RandomForest,2437,2193,4386,244,526,0.317938254252039,37.00118182701449,26.95483169398907,0.5755818065110765,0.4623331357214156,11.73425006866455,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_HCT_116.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_HCT_116.csv,success,,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_HCT_116.pkl
HCT-15,LightGBM,2443,2198,4396,245,526,0.4258861901725073,32.410714682183844,23.18126861496066,0.6546869204381041,0.6256536931568139,2.4990625381469727,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_HCT_15.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_HCT_15.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_HCT_15.pkl
HL-60(TB),LightGBM,2390,2151,4302,239,526,0.3908244849717129,85.10569365961092,59.679458530930695,0.6284130912736795,0.5566287371795986,2.6417360305786133,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_HL_60_TB.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_HL_60_TB.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_HL_60_TB.pkl
HOP-62,CatBoost,2438,2194,4388,244,526,0.4426866697959222,41.83419209227736,31.197905704723716,0.6778229760143211,0.6227076504956898,4.665778875350952,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_HOP_62.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_HOP_62.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_HOP_62.pkl
HOP-92,LightGBM,2438,2194,4388,244,526,0.3072510408246841,48.8503790379034,34.79550454364468,0.5651143871085254,0.5841237830911683,3.2440552711486816,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_HOP_92.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_HOP_92.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_HOP_92.pkl
HS 578T,RandomForest,2406,2165,4330,241,526,0.4125817721296267,46.928264573920586,36.539362655601664,0.6506802981400188,0.6243287212939428,10.908628225326538,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_HS_578T.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_HS_578T.csv,success,,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_HS_578T.pkl
HT29,CatBoost,2431,2187,4374,244,526,0.2578268016284956,43.61630809609933,30.383854003071537,0.5253769810994802,0.5736048434220404,4.834066152572632,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_HT29.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_HT29.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_HT29.pkl
IGROV1,LightGBM,2434,2190,4380,244,526,0.3924630839993439,31.66617725921732,24.151032323348037,0.6420338846745292,0.5928952974497824,2.7788381576538086,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_IGROV1.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_IGROV1.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_IGROV1.pkl
K-562,LightGBM,2435,2191,4382,244,526,0.3084369698580265,44.49977316258002,33.443400736884755,0.5678415304209644,0.5475299954934351,2.9402613639831543,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_K_562.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_K_562.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_K_562.pkl
KM12,RandomForest,2400,2160,4320,240,526,0.4802164773507643,48.16171686178696,33.78403365079365,0.6965393124285097,0.7194890030500172,10.472020387649536,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_KM12.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_KM12.csv,success,,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_KM12.pkl
