cell_line,model,rows_total,train_rows_before_augmentation,train_rows_after_augmentation,test_rows,input_features,r2_score,rmse,mae,pearson_rp,spearman_rs,train_time_sec,model_path,prediction_file,status,error
786-0,CatBoost,2439,2195,4390,244,526,0.3418975987470231,30.885618162123706,24.368192978746684,0.5857911623913703,0.5878107056433249,5.408880233764648,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_786_0.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_786_0.csv,success,
786-0,RandomForest,2439,2195,4390,244,526,0.3348816873548258,31.049814716249504,24.50717950819672,0.5796494315538278,0.5862642803761892,12.179025411605835,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_786_0.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_786_0.csv,success,
786-0,XGBoost,2439,2195,4390,244,526,0.3327410695681565,31.099739964043895,24.307348339131376,0.5804759338780667,0.6031675307879837,2.838003158569336,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_786_0.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_786_0.csv,success,
786-0,LightGBM,2439,2195,4390,244,526,0.3078922901323585,31.67352532215647,24.32079337512444,0.571636426024772,0.5800734301293082,2.9046683311462402,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_786_0.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_786_0.csv,success,
A498,CatBoost,2441,2196,4392,245,526,0.4470889249707408,33.008112278016505,23.16105693636245,0.6736018571766189,0.6418284516727684,5.1621413230896,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_A498.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_A498.csv,success,
A498,XGBoost,2441,2196,4392,245,526,0.43834556209909925,33.26807261359871,23.594447580405642,0.6629111127541816,0.6247460724669713,2.6561901569366455,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_A498.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_A498.csv,success,
A498,RandomForest,2441,2196,4392,245,526,0.41738579356498084,33.88313440048116,23.528178775510206,0.64781155302972,0.6377824115099031,10.796582460403442,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_A498.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_A498.csv,success,
A498,LightGBM,2441,2196,4392,245,526,0.407777096378376,34.161398613243094,24.07754616920079,0.6389191514391392,0.6305896792079949,2.990114688873291,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_A498.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_A498.csv,success,
A549/ATCC,LightGBM,2439,2195,4390,244,526,0.39563731600488394,29.37413351227959,21.84818570860333,0.6294803306748421,0.5845636764379171,2.669144630432129,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_A549_ATCC.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_A549_ATCC.csv,success,
A549/ATCC,RandomForest,2439,2195,4390,244,526,0.3583981965242019,30.265582152863512,21.945911475409833,0.6027482934868713,0.587779372048049,11.165902137756348,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_A549_ATCC.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_A549_ATCC.csv,success,
A549/ATCC,CatBoost,2439,2195,4390,244,526,0.35361377056356147,30.378217815780495,22.761179572448587,0.6083645873255289,0.5525876213817154,4.704926252365112,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_A549_ATCC.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_A549_ATCC.csv,success,
A549/ATCC,XGBoost,2439,2195,4390,244,526,0.33084745609374555,30.908562732013003,22.62167406216508,0.5753819089544069,0.5401768143262499,2.691690444946289,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_A549_ATCC.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_A549_ATCC.csv,success,
ACHN,RandomForest,2434,2190,4380,244,526,0.37106633831680236,42.41652794390461,31.872215729898517,0.6230407795728357,0.5648796070592665,11.076157808303833,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_ACHN.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_ACHN.csv,success,
ACHN,LightGBM,2434,2190,4380,244,526,0.35885500681724636,42.826326505160274,32.24601822466388,0.6025339583781835,0.554238213198767,3.285017490386963,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_ACHN.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_ACHN.csv,success,
ACHN,XGBoost,2434,2190,4380,244,526,0.3563714279281919,42.90919368606643,32.191554985451894,0.6084682203168534,0.5596794656087821,2.4238011837005615,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_ACHN.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_ACHN.csv,success,
ACHN,CatBoost,2434,2190,4380,244,526,0.3557702550467339,42.92922839550285,32.5506381040326,0.6237509597181913,0.5626658965603049,4.822618246078491,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_ACHN.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_ACHN.csv,success,
BT-549,RandomForest,2431,2187,4374,244,526,0.3360380046480955,48.1215702980694,33.92594457455113,0.5854297024827859,0.5425939149451309,11.080331563949585,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_BT_549.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_BT_549.csv,success,
