cell_line,selected_model,original_rows,augmented_training_rows,input_features,step5_r2_score,step5_rmse,step5_mae,step5_pearson_rp,step5_spearman_rs,final_model_path,train_time_sec,status,error
786-0,CatBoost,2439,4878,526,0.3418975987470231,30.885618162123706,24.368192978746684,0.5857911623913703,0.5878107056433249,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_786_0.pkl,4.934116363525391,success,
A498,CatBoost,2441,4882,526,0.4470889249707408,33.008112278016505,23.16105693636245,0.6736018571766189,0.6418284516727684,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_A498.pkl,5.457618713378906,success,
A549/ATCC,LightGBM,2439,4878,526,0.3956373160048839,29.37413351227959,21.84818570860333,0.6294803306748421,0.5845636764379171,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_A549_ATCC.pkl,2.6350157260894775,success,
ACHN,RandomForest,2434,4868,526,0.3710663383168023,42.41652794390461,31.87221572989852,0.6230407795728357,0.5648796070592665,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_ACHN.pkl,11.85750150680542,success,
BT-549,RandomForest,2431,4862,526,0.3360380046480955,48.1215702980694,33.92594457455113,0.5854297024827859,0.5425939149451309,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_BT_549.pkl,11.691207885742188,success,
CAKI-1,LightGBM,2436,4872,526,0.3788728784987875,43.51260248475686,30.89680070917864,0.6226908938544526,0.597870918575682,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_CAKI_1.pkl,2.558955669403076,success,
CCRF-CEM,RandomForest,2399,4798,526,0.3860135470850961,57.31939548409895,42.58284773809524,0.6272947375510243,0.5133320793767948,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_CCRF_CEM.pkl,11.938006401062012,success,
COLO 205,CatBoost,2426,4852,526,0.3418471588278574,47.04313505331539,35.993181072865355,0.588018710601986,0.5326709077243356,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_COLO_205.pkl,4.963354587554932,success,
DU-145,XGBoost,2427,4854,526,0.4343445729831743,44.37948171157006,27.54441234113748,0.662433266661801,0.6162303281920778,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_DU_145.pkl,2.672150135040283,success,
EKVX,XGBoost,2439,4878,526,0.5130317747452082,37.04319136612385,26.72403446304017,0.739068477690752,0.649059990292712,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_EKVX.pkl,2.7326197624206543,success,
HCC-2998,LightGBM,2350,4700,526,0.5659615556639741,43.60039380492074,31.988763246380387,0.7536378838200976,0.663851307174516,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_HCC_2998.pkl,2.5787508487701416,success,
HCT-116,RandomForest,2437,4874,526,0.317938254252039,37.00118182701449,26.95483169398907,0.5755818065110765,0.4623331357214156,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_HCT_116.pkl,12.398480892181396,success,
HCT-15,LightGBM,2443,4886,526,0.4258861901725073,32.410714682183844,23.18126861496066,0.6546869204381041,0.6256536931568139,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_HCT_15.pkl,2.5424840450286865,success,
HL-60(TB),LightGBM,2390,4780,526,0.3908244849717129,85.10569365961092,59.679458530930695,0.6284130912736795,0.5566287371795986,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_HL_60_TB.pkl,2.753507137298584,success,
HOP-62,CatBoost,2438,4876,526,0.4426866697959222,41.83419209227736,31.197905704723716,0.6778229760143211,0.6227076504956898,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_HOP_62.pkl,4.989732980728149,success,
HOP-92,LightGBM,2438,4876,526,0.3072510408246841,48.8503790379034,34.79550454364468,0.5651143871085254,0.5841237830911683,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_HOP_92.pkl,2.765253782272339,success,
HS 578T,RandomForest,2406,4812,526,0.4125817721296267,46.928264573920586,36.539362655601664,0.6506802981400188,0.6243287212939428,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_HS_578T.pkl,12.00374150276184,success,
HT29,CatBoost,2431,4862,526,0.2578268016284956,43.61630809609933,30.383854003071537,0.5253769810994802,0.5736048434220404,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_HT29.pkl,5.186549186706543,success,
IGROV1,LightGBM,2434,4868,526,0.3924630839993439,31.66617725921732,24.151032323348037,0.6420338846745292,0.5928952974497824,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_IGROV1.pkl,2.686673402786255,success,
K-562,LightGBM,2435,4870,526,0.3084369698580265,44.49977316258002,33.443400736884755,0.5678415304209644,0.5475299954934351,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_K_562.pkl,2.829587459564209,success,
KM12,RandomForest,2400,4800,526,0.4802164773507643,48.16171686178696,33.78403365079365,0.6965393124285097,0.7194890030500172,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_KM12.pkl,11.30176854133606,success,
LOX IMVI,RandomForest,2410,4820,526,0.2224118033525183,42.586623064445895,30.027639834024896,0.4955166895820287,0.509552403891261,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_LOX_IMVI.pkl,11.841922283172607,success,
